Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
FADD	gene	FADD	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	para-infectious encephalopathy and hepatopathy;Functional hyposplenism, bacterial and viral infections, recurrent episodes of encephalopathy and liver dysfunction;Diseases of Immune Dysregulation;invasive pneumococcal disease;cardiovascular malformations;Infections, recurrent, with encephalopathy, hepatic dysfunction, and cardiovasuclar malformations, 613759;functional hyposplenism;ALPS-like disease				21109225;17656375;25794656		False	3	100;0;0	1.143	False		ENSG00000168040	ENSG00000168040	HGNC:3573													
FANCA	gene	FANCA	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Fanconi anemia, complementation group A, 227650				32086639;32048120		False	3	100;0;0	1.143	False		ENSG00000187741	ENSG00000187741	HGNC:3582													
FANCB	gene	FANCB	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Fanconi anemia, complementation group B, 300514				32086639;32048120		False	3	100;0;0	1.143	False		ENSG00000181544	ENSG00000181544	HGNC:3583													
FANCC	gene	FANCC	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Fanconi anemia, complementation group C, 227645				32086639;32048120		False	3	100;0;0	1.143	False		ENSG00000158169	ENSG00000158169	HGNC:3584													
FANCD2	gene	FANCD2	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Fanconi anemia, complementation group D2, 227646				32086639;32048120		False	3	100;0;0	1.143	False		ENSG00000144554	ENSG00000144554	HGNC:3585													
FANCE	gene	FANCE	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Fanconi anemia, complementation group E, 600901				32086639;32048120		False	3	100;0;0	1.143	False		ENSG00000112039	ENSG00000112039	HGNC:3586													
FANCF	gene	FANCF	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage;Fanconi anemia, complementation group F, 603467;Fanconi Anemia Type F;Bone marrow failure				32086639;32048120		False	3	100;0;0	1.143	False		ENSG00000183161	ENSG00000183161	HGNC:3587													
FANCG	gene	FANCG	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Fanconi anemia, complementation group G, 614082				32086639;32048120		False	3	100;0;0	1.143	False		ENSG00000221829	ENSG00000221829	HGNC:3588													
FANCI	gene	FANCI	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Fanconi anemia, complementation group I, 609053;Normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage;Fanconi Anemia Type I;Bone marrow failure				32086639;32048120		False	3	100;0;0	1.143	False		ENSG00000140525	ENSG00000140525	HGNC:25568													
FANCL	gene	FANCL	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Fanconi anemia, complementation group L, 614083				32086639;32048120		False	3	100;0;0	1.143	False		ENSG00000115392	ENSG00000115392	HGNC:20748													
FANCM	gene	FANCM	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Bone marrow failure;Normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage;Fanconi Anemia Type M				32086639;32048120		False	3	100;0;0	1.143	False		ENSG00000187790	ENSG00000187790	HGNC:23168													
FAS	gene	FAS	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Splenomegaly, adenopathies, autoimmune cytopenias, increased lymphoma risk, IgG and A normal or increased, elevated serum FasL and IL-10, vitamin B12;Diseases of Immune Dysregulation;Autoimmune lymphoproliferative syndrome, type IA (ALPS-FAS);Autoimmune lymphoproliferative syndrome type IA, 601859;Autoimmune lymphoproliferative syndrome (ALPS)				10709732;15459302;26258116;8929361;9927496;7540117;28668589;9028321;9821419		False	3	100;0;0	1.143	False		ENSG00000026103	ENSG00000026103	HGNC:11920													
FASLG	gene	FASLG	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Autoimmune lymphoproliferative syndrome, type IB, 601859;Diseases of Immune Dysregulation;Autoimmune lymphoproliferative syndrome, type IB (ALPS-FASG);Splenomegaly, adenopathies, autoimmune cytopenias, SLE, soluble FasL is not elevated;Autoimmune lymphoproliferative syndrome (ALPS)				17605793;8787672;20301287;27848183		False	3	100;0;0	1.143	False		ENSG00000117560	ENSG00000117560	HGNC:11936													
FAT4	gene	FAT4	Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Lymphangiectasia and lymphedema with facial abnormalities and other dysmorphic features;Combined immunodeficiencies with associated or syndromic features;Hennekam lymphangiectasia-lymphedema syndrome 2, 616006				24913602;25616299;29681106		False	3	100;0;0	1.143	False		ENSG00000196159	ENSG00000196159	HGNC:23109													
FCGR2A	gene	FCGR2A	ESID Registry 20171117;Expert Review Green;Literature	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Fc receptor deficiencies;Severity of severe acute respiratory syndrome (SARS)-Cov infection				16185324;19494086;12752683		False	3	33;33;33	1.143	False		ENSG00000143226	ENSG00000143226	HGNC:3616													
FCGR3A	gene	FCGR3A	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;Melbourne Genomics Health Alliance Immunology Flagship;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	severe herpes viral infections, particularly VZV, Epstein Barr virus (EBV), and (HPV);CD16 deficiency;predisposition to severe viral infection;Immunodeficiency 20, 615707;Autosomal recessive primary immunodeficiency with defective spontaneous NK cell cytotoxicity;Defects in Intrinsic and Innate Immunity;Fc receptor deficiencies				8609432;23006327;32086639;8608639;32048120;8874200		False	3	33;67;0	1.143	False		ENSG00000203747	ENSG00000203747	HGNC:3619													
FCHO1	gene	FCHO1	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Recurrent infections, lymphoproliferation, increased activation-induced T-cell death, defective clathrin-mediated endocytosis;FCHO1 deficiency;Immunodeficiencies affecting cellular and humoral immunity				32086639;30822429;32048120		False	3	50;50;0	1.143	False		ENSG00000130475	ENSG00000130475	HGNC:29002													
FCN3	gene	FCN3	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Respiratory infections, abscesses;Complement Deficiencies;Ficolin3 deficiency;Immunodeficiency due to ficolin 3 deficiency, 613860				25662573;19535802;32086639;32048120;20971976;22226667		False	3	0;0;100	1.143	False		ENSG00000142748	ENSG00000142748	HGNC:3625													
FERMT1	gene	FERMT1	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	FERMT1 deficiency (Kindler syndrome);Kindler syndrome, 173650;Diseases of Immune Dysregulation;Dermatosis characterized by congenital blistering, skin atrophy, photosensitivity, skin fragility, and scaling				32086639;32048120;21936020		False	3	50;50;0	1.143	False		ENSG00000101311	ENSG00000101311	HGNC:15889													
FERMT3	gene	FERMT3	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	LAD type 1 plus bleeding tendency;LAD;Congenital defects of phagocyte number or function;Leukocyte adhesion deficiency, type III, 612840				26729028;27749372;12511588;17185466;19234463;21441448;20357244		False	3	100;0;0	1.143	False		ENSG00000149781	ENSG00000149781	HGNC:23151													
FOXN1	gene	FOXN1	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification December 2024;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;SCID v1.6;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	T-cell immunodeficiency, congenital alopecia, and nail dystrophy, OMIM:601705 (AR);T-cell lymphopenia, infantile, with or without nail dystrophy, autosomal dominant, OMIM:618806 (AD);T-B+ SCID;Severe infections,  abnormal thymic epithelium, immunodeficiency, congenital alopecia, nail dystrophy,  neural tube defect;Combined immunodeficiencies with associated or syndromic features				28636882;15180707;21507891;11159512;31447097;10206641;28077132;29593714		False	3	67;17;17	1.143	False		ENSG00000109101	ENSG00000109101	HGNC:12765													
FOXP3	gene	FOXP3	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	X-LINKED: hemizygous mutation in males, biallelic mutations in females	FOXP3 deficiency (IPEX);Immune dysregulation polyendocrinopathy enteropathy X-linked syndrome;Diseases of Immune Dysregulation;Immunodysregulation, polyendocrinopathy, and enteropathy, X-linked, 304790;IPEX;Autoimmune enteropathy, early onset diabetes, hyroiditis hemolytic anemia, thrombocytopenia, eczema, elevated IgE, IgA				17635943;11120765;11295725;16741580;14671208		False	3	100;0;0	1.143	False		ENSG00000049768	ENSG00000049768	HGNC:6106													
FPR1	gene	FPR1	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Periodontitis only;Congenital defects of phagocyte number or function;Periodontitis;Localized juvenile peridontitis				20203610;28371599;8224916;29105764;2910576;10882119;32086639;32048120		False	3	50;50;0	1.143	False		ENSG00000171051	ENSG00000171051	HGNC:3826													
FPR2	gene	FPR2	ESID Registry 20171117;Expert Review Green	COVID-19 research		Viral research	Unknown	Localized juvenile peridontitis				31908042;28928730;27034344;29738458;31398292;29127186		False	3	25;50;25	1.143	False		ENSG00000171049	ENSG00000171049	HGNC:3827													
G6PC3	gene	G6PC3	Congenital neutropaenia v1.22;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Structural heart defects, urogenital abnormalities, inner ear deafness, and venous angiectasias of trunks and limbs;Congenital neutropenia;Dursun syndrome, 612541;Severe Congenital Neutropenia;Neutropenia, severe congenital 4, autosomal recessive, 612541;Congenital defects of phagocyte number or function;Neutropenia, severe congenital 4				19118303;20616219		False	3	100;0;0	1.143	False		ENSG00000141349	ENSG00000141349	HGNC:24861													
G6PD	gene	G6PD	ESID Registry 20171117;Expert Review Green;IUIS Classification February 2018;Literature;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Infections;haemolytic anaemia;Congenital defects of phagocyte number or function;Susceptibility to viral infection;chronic granulomatous disease-like susceptibility to infection;Glucose-6-phosphate dehydrogenase deficiency (G6PD)				18269318;3681550;26694452;12130518;27914961;27458052		False	3	100;0;0	1.143	False		ENSG00000160211	ENSG00000160211	HGNC:4057													
GATA1	gene	GATA1	Congenital neutropaenia v1.22;Expert Review Green;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	X-LINKED: hemizygous mutation in males, biallelic mutations in females	neutropenia;dyserythropoietic anaemia;thrombocytopenia;Anemia, X-linked, with/without neutropenia and/or platelet abnormalities, 300835				16783379;22706301		False	3	100;0;0	1.143	False		ENSG00000102145	ENSG00000102145	HGNC:4170													
GATA2	gene	GATA2	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Susceptibility to mycobacteria, HPV, histoplasmosis, alveolar proteinosis, MDS/AML/CMMoL, lymphedema;Congenital neutropenia;Combined immunodeficiency with susceptibility to mycobacterial, viral and fungal infections;Immunodeficiency 21,614172;Congenital defects of phagocyte number or function;Monocytopenia and mycobacterial infection (MonoMAC);Monocytopenia with susceptibility to infections				29588856;21670465;21765025;2543925;29724903		False	3	100;0;0	1.143	False		ENSG00000179348	ENSG00000179348	HGNC:4171													
GFI1	gene	GFI1	Congenital neutropaenia v1.22;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Neutropenia, severe congenital 2;Congenital neutropenia;Severe congenital 2, autosomal dominant, 613107;Congenital defects of phagocyte number or function;Neutropenia, nonimmune chronic idiopathic, of adults, 607847;Severe congenital neutropenia;B/T lymphopenia;Chronic non-immune neutropenia of adults						False	3	100;0;0	1.143	False		ENSG00000162676	ENSG00000162676	HGNC:4237													
GINS1	gene	GINS1	ESID Registry 20171117;Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency 55, 617827;NK cell deficiency;chronic neutropenia;Neutropenia, IUGR, NK cells very low;GINS1 deficiency;Combined immunodeficiencies with associated or syndromic features;intrauterine growth retardation				28414293		False	3	100;0;0	1.143	False		ENSG00000101003	ENSG00000101003	HGNC:28980													
